sigma,x,y,ev
1,-7.424849699398806,102.77555110220442,17.99947854211161
2,-7.424849699398806,102.77555110220442,17.483581846943178
3,-5.861723446893791,103.5571142284569,15.84283900791165
4,-4.298597194388776,103.5571142284569,14.20937369432666
5,-0.39078156312623946,103.5571142284569,12.901187148623876
6,0.39078156312623946,103.5571142284569,12.004495756219999
7,0.39078156312623946,103.5571142284569,11.399472486915426
8,-0.39078156312623946,103.5571142284569,11.002844675307452
9,-0.39078156312623946,103.5571142284569,10.775505932961906
10,-0.39078156312623946,103.5571142284569,10.655904398193274
11,-0.39078156312623946,103.5571142284569,10.605696325863551
12,-0.39078156312623946,104.33867735470943,10.553627041702756
13,-1.1723446893787468,104.33867735470943,10.545294919050628
14,-1.1723446893787468,105.12024048096191,10.52634264294787
15,-1.1723446893787468,105.90180360721445,10.5144267668678
16,-1.1723446893787468,106.68336673346693,10.507795126939532
17,-1.9539078156312542,106.68336673346693,10.541429185573373
18,-34.77955911823648,-99.64929859719439,13.633970410602112
19,-35.561122244488985,-99.64929859719439,13.683907935167694
20,-36.34268537074149,-100.4308617234469,13.647592490428337
21,-36.34268537074149,-100.4308617234469,13.626040926501148
22,-37.124248496994,-100.4308617234469,13.648726168668992
23,-37.90581162324648,-100.4308617234469,13.658617125432887
24,-38.687374749498986,-99.64929859719439,13.710700100957443
25,-38.687374749498986,-99.64929859719439,13.654179467834581
26,-39.46893787575149,-98.08617234468937,13.71711411090787
27,-40.250501002004,-97.30460921843688,13.715667399381676
28,-41.03206412825651,-95.74148296593187,13.734270895548969
29,-41.813627254509015,-94.17835671342685,13.734721840228268
30,-43.37675350701403,-91.83366733466934,13.767049752320418
31,-44.939879759519044,-89.48897795591182,13.777303285229232
32,-46.50300601202406,-87.14428857715431,13.771484274972428
33,-48.066132264529045,-84.79959919839679,13.754451687612605
34,-49.62925851703406,-81.67334669338678,13.742376275451909
35,-51.192384769539075,-79.32865731462925,13.711431749380743
36,-51.97394789579158,-76.98396793587175,13.668572406189073
37,-52.75551102204409,-74.63927855711422,13.625162733552438
38,-53.5370741482966,-72.29458917835672,13.58075066981618
39,-53.5370741482966,-70.7314629258517,13.521688378587013
40,-53.5370741482966,-68.3867735470942,13.471459759547386
41,-53.5370741482966,-66.04208416833669,13.42037844671522
42,-52.75551102204409,-64.47895791583167,13.359691868896922
43,-52.75551102204409,-61.35270541082164,13.312289297585522
44,-51.97394789579158,-59.00801603206412,13.256092450963775
45,-51.97394789579158,-55.88176352705412,13.202577141501923
46,-51.192384769539075,-53.5370741482966,13.143909452876198
47,-50.41082164328657,-50.41082164328657,13.084848760165734
48,-50.41082164328657,-47.28456913827657,13.022964398390762
49,-49.62925851703406,-44.15831663326654,12.959235217908368
50,-48.84769539078155,-41.03206412825651,12.893944392975921
51,-48.066132264529045,-37.90581162324648,12.82748005125485
52,-47.28456913827657,-35.561122244488985,12.764948056188429
53,-46.50300601202406,-32.434869739478955,12.69786528608671
54,-45.72144288577155,-29.308617234468926,12.630489698787224
55,-44.15831663326654,-26.963927855711432,12.572630335050416
56,-43.37675350701403,-25.400801603206418,12.518646239255403
57,-41.813627254509015,-23.837675350701403,12.46951570434217
58,-40.250501002004,-21.49298597194388,12.415521953088131
59,-38.687374749498986,-19.929859719438866,12.368989720303825
60,-37.124248496994,-18.36673346693388,12.323559950760224
61,-35.561122244488985,-16.803607214428865,12.27909309845482
62,-33.99799599198397,-15.24048096192385,12.235481330104514
63,-32.434869739478955,-14.458917835671343,12.199110378328163
64,-30.87174348697394,-12.895791583166329,12.157298623437956
65,-29.308617234468926,-12.114228456913821,12.122152036961669
66,-28.52705410821642,-11.332665330661314,12.081989050874606
67,-26.963927855711432,-10.551102204408807,12.047371952724525
68,-26.182364729458925,-9.7695390781563,12.007208723621186
69,-25.400801603206418,-8.98797595190382,11.966671757758979
70,-23.837675350701403,-8.206412825651313,11.930235690157144
71,-23.056112224448896,-7.424849699398806,11.888555238907966
72,-22.27454909819639,-7.424849699398806,11.851961668592866
73,-21.49298597194388,-6.643286573146298,11.809534223809507
74,-20.711422845691374,-6.643286573146298,11.77197133332291
75,-19.929859719438866,-5.861723446893791,11.728826356558601
76,-19.14829659318636,-5.861723446893791,11.690386176738965
77,-18.36673346693388,-5.0801603206412835,11.646571092643645
78,-17.585170340681373,-5.0801603206412835,11.60735676426895
79,-16.803607214428865,-5.0801603206412835,11.567703308370575
80,-16.803607214428865,-4.298597194388776,11.518787268646353
81,-16.022044088176358,-4.298597194388776,11.478707396115382
82,-15.24048096192385,-4.298597194388776,11.43830391192037
83,-15.24048096192385,-4.298597194388776,11.393614956551959
84,-14.458917835671343,-3.517034068136269,11.348625377482449
85,-14.458917835671343,-3.517034068136269,11.303956410509265
86,-13.677354709418836,-3.517034068136269,11.263190811686954
87,-13.677354709418836,-3.517034068136269,11.218590041540763
88,-13.677354709418836,-3.517034068136269,11.174067280114492
89,-12.895791583166329,-3.517034068136269,11.133444113354436
90,-12.895791583166329,-3.517034068136269,11.089247846393382
91,-12.114228456913821,-2.7354709418837615,11.04515133401168
92,-12.114228456913821,-2.7354709418837615,11.00152755837338
93,-12.114228456913821,-2.7354709418837615,10.958168233118416
94,-12.114228456913821,-2.7354709418837615,10.915104466364394
95,-11.332665330661314,-2.7354709418837615,10.87571787250008
96,-11.332665330661314,-2.7354709418837615,10.83333864333826
97,-11.332665330661314,-2.7354709418837615,10.791329127624644
98,-11.332665330661314,-2.7354709418837615,10.749710348195483
99,-10.551102204408807,-2.7354709418837615,10.711601208102767
